ICAO,TYPE/SIZE,NAME,ELEVATION,iso_country,iso_region,municipality,Lat,Lon
00A,heliport,Total Rf Heliport,11,US,US-PA,Bensalem,-74.93360138,40.07080078
00AA,small_airport,Aero B Ranch Airport,3435,US,US-KS,Leoti,-101.473911,38.704022
00AK,small_airport,Lowell Field,450,US,US-AK,Anchor Point,-151.6959991,59.94919968
00AL,small_airport,Epps Airpark,820,US,US-AL,Harvest,-86.77030182,34.8647995
00AR,closed,Newport Hospital & Clinic Heliport,237,US,US-AR,Newport,-91.254898,35.6087
00AS,small_airport,Fulton Airport,1100,US,US-OK,Alex,-97.8180194,34.9428028
00AZ,small_airport,Cordes Airport,3810,US,US-AZ,Cordes,-112.1650009,34.30559921
00CA,small_airport,Goldstone /Gts/ Airport,3038,US,US-CA,Barstow,-116.8880005,35.3504982
00CL,small_airport,Williams Ag Airport,87,US,US-CA,Biggs,-121.763427,39.427188
00CN,heliport,Kitchen Creek Helibase Heliport,3350,US,US-CA,Pine Valley,-116.4597417,32.7273736
00CO,closed,Cass Field,4830,US,US-CO,Briggsdale,-104.344002,40.622202
00FA,small_airport,Grass Patch Airport,53,US,US-FL,Bushnell,-82.21900177,28.64550018
00FD,heliport,Ringhaver Heliport,25,US,US-FL,Riverview,-82.34539795,28.84659958
00FL,small_airport,River Oak Airport,35,US,US-FL,Okeechobee,-80.96920013,27.23089981
00GA,small_airport,Lt World Airport,700,US,US-GA,Lithonia,-84.06829834,33.76750183
00GE,heliport,Caffrey Heliport,957,US,US-GA,Hiram,-84.73390198,33.88420105
00HI,heliport,Kaupulehu Heliport,43,US,US-HI,Kailua/Kona,-155.980233,19.832715
00ID,small_airport,Delta Shores Airport,2064,US,US-ID,Clark Fork,-116.2139969,48.14530182
00IG,small_airport,Goltl Airport,3359,US,US-KS,McDonald,-101.395994,39.724028
00II,heliport,Bailey Generation Station Heliport,600,US,US-IN,Chesterton,-87.12280273,41.64450073
00IL,small_airport,Hammer Airport,840,US,US-IL,Polo,-89.56040192,41.97840118
00IN,heliport,St Mary Medical Center Heliport,634,US,US-IN,Hobart,-87.26059723,41.51139832
00IS,small_airport,Hayenga's Cant Find Farms Airport,820,US,US-IL,Kings,-89.12290192,40.02560043
00KS,small_airport,Hayden Farm Airport,1100,US,US-KS,Gardner,-94.93049622,38.72779846
00KY,small_airport,Robbins Roost Airport,1265,US,US-KY,Stanford,-84.61969757,37.40940094
00LA,heliport,Shell Chemical East Site Heliport,15,US,US-LA,Gonzales,-90.980833,30.191944
00LL,heliport,Ac & R Components Heliport,600,US,US-IL,Chatham,-89.70559692,39.66529846
00LS,small_airport,Lejeune Airport,12,US,US-LA,Esterwood,-92.42939758,30.13629913
00MD,small_airport,Slater Field,45,US,US-MD,Federalsburg,-75.75379944,38.75709915
00MI,heliport,Dow Chemical Heliport,588,US,US-MI,Ludington,-86.41670227,43.94940186
00MN,small_airport,Battle Lake Municipal Airport,1365,US,US-MN,Battle Lake,-95.70030212,46.29999924
00MO,small_airport,Cooper Flying Service Airport,970,US,US-MO,Alba,-94.41239929,37.20280075
00MT,closed,Sands Ranch Airport,2600,US,US-MT,Havre,-109.705002,48.537498
00N,small_airport,Bucks Airport,105,US,US-NJ,Bridgeton,-75.18520355,39.47320175
00NC,small_airport,North Raleigh Airport,348,US,US-NC,Louisburg,-78.37139893,36.08520126
00NJ,heliport,Colgate-Piscataway Heliport,78,US,US-NJ,New Brunswick,-74.47460175,40.52090073
00NK,seaplane_base,Cliche Cove Seaplane Base,96,US,US-NY,Beekmantown,-73.3698057,44.8118612
00NY,small_airport,Weiss Airfield,1000,US,US-NY,West Bloomfield,-77.49970245,42.90010071
00OH,closed,Exit 3 Airport,785,US,US-OH,Wauseon,-84.141583,41.590476
00OI,heliport,Miami Valley Hospital Heliport,905,US,US-OH,Dayton,-84.18740082,39.74530029
00OK,small_airport,Gull Bay Landing Airport,960,US,US-OK,Sandsprings,-96.217693,36.198598
00OR,heliport,Steel Systems Heliport,195,US,US-OR,Salem,-123.1299973,44.93289948
00PA,heliport,R J D Heliport,402,US,US-PA,Coatesville,-75.74690247,39.94889832
00PN,small_airport,Ferrell Field,1301,US,US-PA,Mercer,-80.211111,41.2995
00PS,closed,Thomas Field,815,US,US-PA,Loysville,-77.365303,40.3778
00S,small_airport,Mc Kenzie Bridge State Airport,1620,US,US-OR,Mc Kenzie Bridge,-122.0889969,44.18320084
00SC,small_airport,Flying O Airport,150,US,US-SC,Sumter,-80.26719666,34.00939941
00SD,small_airport,Homan Field,1590,US,US-SD,Gary,-96.498897,44.809158
00TA,heliport,Sw Region Faa Heliport,598,US,US-TX,Fort Worth,-97.30580139,32.82690048
00TE,heliport,Tcjc-Northeast Campus Heliport,600,US,US-TX,Fort Worth,-97.1894989,32.84759903
00TN,small_airport,Ragsdale Road Airport,1100,US,US-TN,Manchester,-85.95359802,35.51589966
00TS,small_airport,Alpine Range Airport,670,US,US-TX,Everman,-97.24199677,32.60760117
00TX,closed,San Jacinto Methodist Hospital Heliport,19,US,US-TX,Baytown,-94.980201,29.7377
00UT,closed,Clear Creek Ranch Airport,6138,US,US-UT,Kanab,-112.821998,37.247799
00VA,small_airport,Vaughan Airport,551,US,US-VA,Alton,-78.9991684,36.57600021
00VI,small_airport,Groundhog Mountain Airport,2680,US,US-VA,Hillsville,-80.49949646,36.66329956
00W,small_airport,Lower Granite State Airport,719,US,US-WA,Colfax,-117.4430008,46.67350006
00WA,small_airport,Howell Airport,150,US,US-WA,Longbranch,-122.7720032,47.17839813
00WI,small_airport,Northern Lite Airport,860,US,US-WI,Waupaca,-89.05010223,44.3042984
00WN,small_airport,Hawks Run Airport,2900,US,US-WA,Asotin,-117.2490005,46.25
00WV,small_airport,Lazy J. Aerodrome,2060,US,US-WV,Beverly,-79.8660965,38.82889938
00WY,heliport,Mountain View Regional Hospital Heliport,5210,US,US-WY,Casper,-106.224443,42.840361
00XS,small_airport,L P Askew Farms Airport,3110,US,US-TX,O'Donnell,-101.9339981,33.03340149
01A,small_airport,Purkeypile Airport,1950,US,US-AK,Purkeypile,-152.2700043,62.9435997
01AK,heliport,Providence Seward Medical Center Heliport,120,US,US-AK,Seward,-149.446249,60.10587398
01AL,small_airport,Ware Island Airport,344,US,US-AL,Clanton,-86.51390076,32.94599915
01AR,heliport,Community Hospital of De Queen Heliport,400,US,US-AR,De Queen,-94.35489655,34.04729843
01AZ,heliport,Yat Heliport,3300,US,US-AZ,Camp Verde,-111.8649979,34.60810089
01C,closed,Grant Airport,815,US,US-MI,Grant,-85.77500153,43.34170151
01CA,heliport,Lugo Substation Heliport,3733,US,US-CA,Hesperia,-117.3700587,34.36824059
01CL,small_airport,Swansboro Country Airport,2594,US,US-CA,Placerville,-120.7340012,38.79990005
01CN,heliport,Los Angeles County Sheriff's Department Heliport,300,US,US-CA,Los Angeles,-118.1539993,34.03779984
01CO,heliport,St Vincent General Hospital Heliport,10175,US,US-CO,Leadville,-106.2460022,39.24530029
01CT,heliport,Berlin Fairgrounds Heliport,60,US,US-CT,Berlin,-72.72750092,41.62730026
01FA,small_airport,Rybolt Ranch Airport,55,US,US-FL,Orlando,-81.14420319,28.58939934
01FD,heliport,Advent Health Altamonte Springs Heliport,86,US,US-FL,Altamonte Springs,-81.3697,28.666639
01FL,small_airport,Cedar Knoll Flying Ranch Airport,19,US,US-FL,Geneva,-81.15920258,28.78190041
01GA,heliport,Medical Center Heliport,319,US,US-GA,Columbus,-84.97910309,32.47930145
01GE,small_airport,The Farm Airport,375,US,US-GA,Wrightsville,-82.77110291,32.67440033
01IA,small_airport,Stender Airport,725,US,US-IA,Maysville,-90.74130249,41.66109848
01ID,small_airport,Lava Hot Springs Airport,5268,US,US-ID,Lava Hot Springs,-112.031998,42.6082
01II,small_airport,Myers Field,950,US,US-IN,Lizton,-86.50669861,39.88499832
01IL,heliport,Hoopeston Community Memorial Hospital Heliport,583,US,US-IL,Hoopeston,-87.65950012,40.45859909
01IN,heliport,Community Hospital Heliport,890,US,US-IN,Anderson,-85.69580078,40.13090134
01IS,small_airport,William E. Koenig Airport,670,US,US-IL,Dow,-90.31819916,39.01620102
01J,small_airport,Hilliard Airpark,59,US,US-FL,Hilliard,-81.90570068,30.68630028
01K,small_airport,Caldwell Municipal Airport,1157,US,US-KS,Caldwell,-97.58640289,37.03609848
01KS,small_airport,Flying N Ranch Airport,1485,US,US-KS,Lost Springs,-97.00330353,38.54059982
01KY,heliport,Lourdes Hospital Heliport,419,US,US-KY,Paducah,-88.64689636,37.05170059
01LA,small_airport,Barham Airport,90,US,US-LA,Oak Ridge,-91.7736969,32.63899994
01LL,small_airport,Schumaier Restricted Landing Area,555,US,US-IL,Pinckneyville,-89.46389771,38.12580109
01LS,small_airport,Country Breeze Airport,125,US,US-LA,Slaughter,-91.07740021,30.70599937
01MA,heliport,Compaq Andover Heliport,140,US,US-MA,Andover,-71.18009949,42.62509918
01MD,seaplane_base,Annapolis Seaplane Base,,US,US-MD,Annapolis,-76.456001,38.999199
01ME,seaplane_base,Saint Peter's Seaplane Base,608,US,US-ME,Portage Lake,-68.50029755,46.77890015
01MI,heliport,Flow Through Terminal Heliport,736,US,US-MI,Flint,-83.67970276,43.04949951
01MN,seaplane_base,Barnes Seaplane Base,1358,US,US-MN,Cook,-92.55740356,47.89960098
01MO,heliport,Highway Patrol Troop C Headquarters Heliport,615,US,US-MO,Town and Country,-90.48429871,38.64170074
01MT,small_airport,Crystal Lakes Resort Airport,3141,US,US-MT,Fortine,-114.8799973,48.78910065
01NC,small_airport,Topsail Airpark,65,US,US-NC,Holly Ridge,-77.58139801,34.47529984
01NE,small_airport,Detour Airport,3000,US,US-NE,Wellfleet,-100.6529999,40.84360123
01NH,small_airport,Moore Airfield,835,US,US-NH,Canaan,-72.086998,43.6445
01NJ,heliport,Albert Guido Memorial Heliport,10,US,US-NJ,Newark,-74.13710022,40.7417984
01NM,small_airport,Champion Ranch Airport,3630,US,US-NM,Artesia,-104.540278,33.008611
01NV,small_airport,Lantana Ranch Airport,4600,US,US-NV,Yerington,-119.0270004,38.76390076
01NY,closed,Vassar Hospital Heliport,100,US,US-NY,Poughkeepsie,-73.935582,41.694187
01OI,heliport,Galion Community Hospital Heliport,1140,US,US-OH,Galion,-82.8015976,40.73059845
01OK,closed,Lawrence Airport,1525,US,US-OK,Eakly,-98.636496,35.294498
01OR,closed,Red & White Flying Service Airport,4346,US,US-OR,Silver Lake,-121.044997,43.119301
01PA,closed,Pine Heliport,1215,US,US-PA,Mars,-80.050903,40.655602
01PN,small_airport,Bierly(Personal Use) Airport,960,US,US-PA,Bellefonte,-77.73889923,40.93059921
01PS,small_airport,Nort's Resort Airport,1040,US,US-PA,Meshoppen,-76.02960205,41.59590149
01SC,small_airport,York Airport,779,US,US-SC,York,-81.25279999,35.03210068
01TA,heliport,Thirty Thirty Matlock Office Center Heliport,630,US,US-TX,Arlington,-97.11579895,32.69419861
01TE,small_airport,Smith Field,505,US,US-TX,Forney,-96.4280014,32.73759842
01TN,small_airport,Colonial Air Park,370,US,US-TN,Collierville,-89.73059845,34.9958992
01TS,closed,St Joseph Hospital Heliport,675,US,US-TX,Fort Worth,-97.324501,32.7285
01TX,small_airport,Mims Farm Ultralightport,610,US,US-TX,Waxahachie,-96.87750244,32.38759995
01U,small_airport,Duckwater Airport,5124,US,US-NV,Duckwater,-115.6340027,38.85160065
01UT,small_airport,La Sal Junction Airport,6000,US,US-UT,La Sal,-109.3960037,38.30830002
01VA,small_airport,Pickles Airport,500,US,US-VA,Berryville,-77.92500305,39.125
01WA,heliport,Willapa Harbor Heliport,154,US,US-WA,South Bend,-123.8119965,46.66320038
01WI,small_airport,Prehn Cranberry Company Airport,930,US,US-WI,Tomah,-90.3891983,44.00999832
01WN,heliport,Whidbey General Hospital Heliport,103,US,US-WA,Coupeville,-122.6849976,48.21340179
01WT,heliport,Odyssey Heliport,20,US,US-WA,Renton,-122.210908,47.518178
01WY,small_airport,Keyhole Airport,4250,US,US-WY,Moorcroft,-104.810997,44.34719849
01XA,heliport,Seton Medical Center Hays Heliport,715,US,US-TX,Kyle,-97.853333,30.007222
01XS,heliport,Meadowood Ranch Heliport,500,US,US-TX,Athens,-95.74549866,32.02019882
02AK,small_airport,Rustic Wilderness Airport,190,US,US-AK,Willow,-150.0980072,61.87689972
02AL,small_airport,Bass Field,61,US,US-AL,Foley,-87.76439667,30.37150002
02AR,closed,Three Rivers Airport,264,US,US-AR,Little Rock,-92.44442,34.822445
02AZ,closed,Winchester Farm Airstrip,4200,US,US-AZ,Willcox,-109.936996,32.376401
02CA,heliport,Swepi Beta Platform Ellen Heliport,122,US,US-CA,Huntington Beach,-118.1289978,33.58250046
02CD,small_airport,Shannon Field,165,US,US-MS,Clarksdale,-90.52400208,34.12960052
02CL,small_airport,Conover Air Lodge Airport,5160,US,US-CA,Frazier Park,-119.058998,34.761101
02CO,small_airport,Mc Cullough Airport,7615,US,US-CO,Monte Vista,-106.0469971,37.6432991
02CT,heliport,Strangers Point Heliport,540,US,US-CT,Ellington,-72.44450378,41.91960144
02FA,small_airport,Osborn Airfield,121,US,US-FL,Groveland,-81.87480164,28.52669907
02FL,closed,Cuchens Airport,215,US,US-FL,Defuniak Springs,-86.118779,30.642527
02GA,small_airport,Doug Bolton Field,884,US,US-GA,Commerce,-83.42900085,34.20259857
02GE,small_airport,Etowah Fields Airport,710,US,US-GA,Euharlee,-84.92440033,34.1753006
02HI,heliport,K3 Helipad Heliport,9,US,US-HI,Pearl Harbor,-157.951004,21.36199951
02IA,heliport,Boone County Hospital Heliport,1160,US,US-IA,Boone,-93.87799835,42.05609894
02ID,small_airport,Morgan Ranch Airport,5634,US,US-ID,Cascade,-115.3050003,44.55550003
02II,small_airport,King Ultralightport,925,US,US-IN,Westfield,-86.21050262,40.06230164
02IN,small_airport,Diamond P. Field,904,US,US-IN,Muncie,-85.540802,40.20890045
02IS,heliport,Condell Medical Center Heliport,762,US,US-IL,Libertyville,-87.95729828,42.27460098
02KS,small_airport,Jmj Landing Airport,1170,US,US-KS,St Marys,-96.05529785,39.22219849
02KT,heliport,St Claire Healthcare Heliport,781,US,US-KY,Morehead,-83.443319,38.181441
02KY,heliport,Boone National Guard Heliport,760,US,US-KY,Frankfort,-84.89990234,38.1833992
02LA,heliport,La State Police Troop G Heliport,168,US,US-LA,Bossier City,-93.66020203,32.53129959
02LS,heliport,Windy Hill Heliport,25,US,US-LA,Broussard,-91.91899872,30.14830017
02MA,heliport,Cuttyhunk Heliport,9,US,US-MA,Gosnold,-70.92700195,41.41960144
02MD,small_airport,Garner Field,141,US,US-MD,Brandywine,-76.709739,38.672544
02ME,small_airport,Nadeau's Airfield,700,US,US-ME,Acton,-70.929397,43.5373
02MI,small_airport,Fairplains Airpark,850,US,US-MI,Greenville,-85.14849854,43.15710068
02MN,small_airport,Greenbush Municipal Airport,1070,US,US-MN,Greenbush,-96.19200134,48.68330002
02MO,small_airport,Troy Airpark,650,US,US-MO,Troy,-91.03350067,39.04999924
02MS,small_airport,Watts Field,153,US,US-MS,Rochdale,-90.84680176,34.10010147
02MT,closed,Barrett Field,3350,US,US-MT,Cascade,-111.74304,47.2374
02MU,closed,Timber Line Airpark,1550,US,US-MO,Cassville,-93.797418,36.654233
02NC,heliport,Race City Heliport,809,US,US-NC,Landis,-80.597778,35.541111
02NE,small_airport,Benes Service Airport,1550,US,US-NE,Valparaiso,-96.90450287,41.07450104
02NH,seaplane_base,Iroquois Landing Seaplane Base,1180,US,US-NH,Dummer,-71.21910095,44.65710068
02NJ,heliport,Penske Heliport,78,US,US-NJ,Piscataway,-74.46710205,40.55730057
02NV,small_airport,Paiute Meadows Airport,4443,US,US-NV,Winnemucca,-118.5979996,41.30329895
02NY,heliport,Hansen Heliport,435,US,US-NY,Durhamville,-75.65550232,43.13259888
02OH,small_airport,Zimmerman Airport,614,US,US-OH,Fremont,-83.08329773,41.37639999
02OI,small_airport,Murtha Airport,950,US,US-OH,Conneaut,-80.56539917,41.80199814
02OK,closed,Canon Heliport,1191,US,US-OK,Oklahoma City,-97.525297,35.458401
02OR,small_airport,Rowena Dell Airport,705,US,US-OR,The Dalles,-121.3160019,45.68149948
02P,heliport,Stottle Memorial Heliport,591,US,US-PA,Honey Grove,-77.556602,40.403596
02PA,heliport,Lag Iii Heliport,1070,US,US-PA,Monroeville,-79.76999664,40.43830109
02PN,heliport,Peco Berwyn Heliport,390,US,US-PA,Berwyn,-75.4552002,40.06959915
02PS,small_airport,Hughes Ultralightport,1700,US,US-PA,Tioga,-77.2303009,41.90060043
02SC,small_airport,Harpers Airport,111,US,US-SC,Estill,-81.22480011,32.75849915
02T,small_airport,Wise River Airport,5830,US,US-MT,Wise River,-112.9820023,45.76910019
02TA,heliport,Matagorda Shore Facility Heliport,5,US,US-TX,Matagorda,-95.87380219,28.72139931
02TE,heliport,Baylor Medical Center Heliport,560,US,US-TX,Waxahachie,-96.86419678,32.395401
02TN,small_airport,Ellis Field,840,US,US-TN,Murfreesboro,-86.584198,35.7806015
02TS,closed,FWOMC Heliport,684,US,US-TX,Fort Worth,-97.370003,32.747601
02TX,small_airport,The Palms At Kitty Hawk Airport,3235,US,US-TX,New Home,-101.9228821,33.37040329
02UT,small_airport,Lucin Airport,4412,US,US-UT,Lucin,-113.8430023,41.36629868
02VA,small_airport,The Greenhouse Airport,320,US,US-VA,Culpeper,-77.85720062,38.43569946
02VG,heliport,Northstar Aviation Heliport,1850,US,US-VA,Bristol,-82.11669922,36.63880157
02WA,small_airport,Cawleys South Prairie Airport,690,US,US-WA,South Prairie,-122.0940018,47.15230179
02WI,small_airport,Beer Airport,920,US,US-WI,Hudson,-92.65579987,45.0318985
02WN,small_airport,Fowler Field,2150,US,US-WA,Tonasket,-119.3190002,48.74580002
02XA,small_airport,JLS Farms Airport,675,US,US-TX,Honey Grove,-95.882864,33.591319
02XS,small_airport,Seidel Ranch Airport,510,US,US-TX,Elroy,-97.66280365,30.14769936
03AA,heliport,Trapper T Heliport,159,US,US-AK,Palmer,-149.284527,61.556055
03AK,seaplane_base,Joe Clouds Seaplane Base,150,US,US-AK,Kenai,-151.132782,60.72722244
03AL,heliport,Highland Medical Center Heliport,628,US,US-AL,Scottsboro,-86.046774,34.662604
03AR,heliport,Hscmh Heliport,350,US,US-AR,Malvern,-92.78849792,34.35760117
03AZ,small_airport,Thompson International Aviation Airport,4275,US,US-AZ,Hereford,-110.0839996,31.4333992
03CA,heliport,Grossmont Hospital Heliport,634,US,US-CA,La Mesa,-117.006952,32.779484
03CO,small_airport,Kugel-Strong Airport,4950,US,US-CO,Platteville,-104.7440033,40.21250153
03FA,small_airport,Lake Persimmon Airstrip,70,US,US-FL,Lake Placid,-81.40809631,27.35309982
03FD,closed,Tharpe Airport,115,US,US-FL,Bonifay,-85.731003,30.8288
03FL,heliport,Ranger Heliport,20,US,US-FL,West Palm Beach,-80.18730164,26.68370056
03GA,small_airport,HIA Airport,238,US,US-IN,Statesboro,-81.8576944,32.5623056
03I,closed,Clarks Dream Strip,680,US,US-OH,Circleville,-83.018204,39.644199
03IA,small_airport,East Field,954,US,US-IA,Montezuma,-92.46130371,41.58190155
03ID,small_airport,Flying Y Ranch Airport,3180,US,US-ID,Council,-116.5329971,44.79430008
03II,small_airport,Davis Field Ultralightport,465,US,US-IN,Mount Vernon,-87.77890015,37.9620018
03IL,small_airport,Wix Airport,750,US,US-IL,Monee,-87.8167038,41.40230179
03IN,small_airport,Heinzman Airport,850,US,US-IN,Arcadia,-86.01249695,40.18000031
03IS,heliport,OSF St Anthony's Health Center Heliport,580,US,US-IL,Alton,-90.173401,38.904999
03KS,heliport,Valley Grain Heliport,1160,US,US-KS,Highland,-95.26409912,39.86470032
03KY,small_airport,Flying H Farms Airport,385,US,US-KY,Henderson,-87.54139709,37.79169846
03LA,heliport,Damien Heliport,25,US,US-LA,Carville,-91.12789917,30.19960022
03LS,heliport,Fmc Nr 1 Heliport,79,US,US-LA,Winnsboro,-91.70800018,32.1590004
03M,seaplane_base,Lakeside Marina Seaplane Base,165,US,US-ME,East Winthrop,-69.88950348,44.32089996
03MA,small_airport,Hadley Airport,150,US,US-MA,Hadley,-72.55200195,42.39310074
03MD,heliport,Upper Chesapeake Medical Center Heliport,302,US,US-MD,Bel Air,-76.3266983,39.52249908
03ME,small_airport,Maple Ridge Airport,556,US,US-ME,Harrison,-70.62729645,44.08420181
03MI,heliport,Harold Miller Heliport,585,US,US-MI,Bay City,-83.86219788,43.55089951
03MN,small_airport,Nauerth Land Ranch Airport,1435,US,US-MN,Lakefield,-95.22470093,43.62519836
03MO,closed,Cahoochie Airport,1010,US,US-MO,Urbana,-93.131599,37.884499
03MS,heliport,Vicksburg Medical Center Heliport,110,US,US-MS,Vicksburg,-90.8832016,32.31880188
03MT,small_airport,Cascade Field,3580,US,US-MT,Cascade,-111.71748,47.267327
03MU,small_airport,Mc Donnell Airport,874,US,US-MO,Archie,-94.41249847,38.49250031
03NC,small_airport,Pilots Ridge Airport,35,US,US-NC,Carolina Beach,-77.90419769,34.10430145
03ND,small_airport,Olafson Brothers Airport,1045,US,US-ND,Edinburg,-97.82900238,48.62639999
03NE,small_airport,Hyde Ranch Airport,2430,US,US-NE,Comstock,-99.33119965,41.54639816
03NH,heliport,Lorden Heliport,400,US,US-NH,Milford,-71.12439728,42.81539917
03NJ,closed,At&T Heliport,360,US,US-NJ,Berkeley Heights,-74.410152,40.668713
03NV,small_airport,Llama Ranch Airport,6120,US,US-NV,Ruby Valley,-115.2979965,40.58440018
03NY,small_airport,Talmage Field,95,US,US-NY,Riverhead,-72.71679688,40.95840073
03OH,small_airport,Gibbs Field,580,US,US-OH,Fremont,-83.01740265,41.41839981
03OI,heliport,Marymount Hospital Heliport,890,US,US-OH,Garfield Heights,-81.59980011,41.42089844
03OK,small_airport,Sahoma Lake Airport,890,US,US-OK,Sapulpa,-96.16139984,36.04119873
03OR,small_airport,Powwatka Ridge Airport,3340,US,US-OR,Troy,-117.4840012,45.85540009
03PA,heliport,Collegeville Heliport,197,US,US-PA,Collegeville,-75.46569824,40.16289902
03PN,heliport,M.P. Metals Heliport,479,US,US-PA,Berwick,-76.180806,41.066861
03PR,small_airport,Sun View Field Airport,980,US,US-KS,Bonner Springs,-94.921703,39.065947
03PS,closed,Ziggy's Field,1050,US,US-PA,Bellefonte,-77.905602,40.849998
03S,small_airport,Sandy River Airport,704,US,US-OR,Sandy,-122.2289963,45.40179825
03SC,heliport,Seacoast Medical Center Heliport,73,US,US-SC,Little River,-78.66190338,33.86500168
03TA,closed,Gay Hill Farm Airport,505,US,US-TX,Gay Hill,-96.500198,30.262699
03TE,small_airport,Barronena Ranch Airport,600,US,US-TX,Hebbronville,-98.66950226,27.49110031
03TN,heliport,Eagles Landing Heliport,1000,US,US-TN,Sevierville,-83.57939911,35.92250061
03TS,heliport,Shannon Medical Center Heliport,1825,US,US-TX,San Angelo,-100.4380035,31.4598999
03TX,heliport,M D K Field,50,US,US-TX,Pearland,-95.30719757,29.58160019
03UT,small_airport,A Z Minerals Corporation Airport,5315,US,US-UT,Mexican Hat,-109.9860001,37.12080002
03VA,closed,Whipoorwill Springs Airport,250,US,US-VA,Nokesville,-77.57969666,38.66460037
03WA,small_airport,Spangle Field,2440,US,US-WA,Spangle,-117.3720016,47.40819931
03WI,small_airport,Zink Airport,880,US,US-WI,Berlin,-88.883945,44.028873
03WN,small_airport,Aerostone Ranch Airport,2320,US,US-WA,Goldendale,-120.6699982,45.875
03XS,small_airport,Creekside Airport,2100,US,US-TX,Mertzon,-100.7539978,31.31809998
04AA,small_airport,Phil's Airport,250,US,US-AK,Soldotna,-150.811387,60.535833
04AL,heliport,Anniston AHP (Anniston Army Depot),686,US,US-AL,Anniston,-85.96720123,33.62639999
04AR,heliport,Saline Memorial Hospital Heliport,430,US,US-AR,Benton,-92.586047,34.574319
04AZ,small_airport,Chinle Airport,5515,US,US-AZ,Chinle,-109.5510025,36.15420151
04CA,small_airport,Gray Butte Field,3020,US,US-CA,Palmdale,-117.675003,34.5639
04CL,small_airport,Hunt's Sky Ranch Airport,2310,US,US-CA,Julian,-116.4410019,33.08169937
04CT,heliport,Shingle Mill Heliport,880,US,US-CT,Harwinton,-73.05239868,41.75510025
04F,closed,De Leon Municipal Airport,1293,US,US-TX,De Leon,-98.525325,32.098801
04FA,small_airport,Richards Field,9,US,US-FL,Homestead,-80.51509857,25.55870056
04FD,heliport,Tampa General Hospital Brandon Healthplex Heliport,37,US,US-FL,Brandon,-82.336981,27.929372
04FL,small_airport,Cross Creek Farms Airport,30,US,US-FL,Ormond,-81.22200012,29.23940086
04I,small_airport,Columbus Southwest Airport,920,US,US-OH,Columbus,-83.188797,39.91120148
04IA,small_airport,Middlekoop Airport,801,US,US-IA,Packwood,-92.05460358,41.0882988
04ID,small_airport,Lanham Field,2343,US,US-ID,Emmett,-116.5370026,43.87770081
04II,small_airport,Turkey Run Airport,765,US,US-IN,New Haven,-84.99410248,41.13059998
04IL,small_airport,Schertz Aerial Service - Hudson Airport,755,US,US-IL,Hudson,-89.00700378,40.63750076
04IN,seaplane_base,Lake Gage Seaplane Base,954,US,US-IN,Angola,-85.113056,41.701389
04IS,small_airport,Van Gorder Airport,728,US,US-IL,Mansfield,-88.56900024,40.17860031
04KS,heliport,Robinson Industries Heliport,835,US,US-KS,Lawrence,-95.21970367,38.97890091
04KY,small_airport,Natchez Trace Farm Airport,710,US,US-KY,Hiseville,-85.78939819,37.13510132
04LA,heliport,St James Heliport,10,US,US-LA,Lutcher,-90.702222,30.051111
04LL,small_airport,Brunner Airport,750,US,US-IL,West Dundee,-88.28759766,42.13610077
04LS,heliport,La National Guard Heliport,52,US,US-LA,Baton Rouge,-91.1053009,30.44610023
04MA,closed,Goddard Field (Airport),200,US,US-MA,Haverhill,-71.1391983,42.80979919
04MD,heliport,Chesapeake City Heliport,40,US,US-MD,Chesapeake City,-75.8214035,39.51810074
04ME,small_airport,Beech Hill Airport,625,US,US-ME,Mercer,-69.89389801,44.66669846
04MI,small_airport,Rapids Airway Airport,880,US,US-MI,Eaton Rapids,-84.62830353,42.53450012
04MN,small_airport,Helblad Airport,1195,US,US-MN,Kelliher,-94.68689728,47.9858017
04MO,small_airport,Airpark Private Airport,767,US,US-MO,Vandalia,-91.45149994,39.30120087
04MS,small_airport,Nick's Flying Service Inc Airport,100,US,US-MS,Rolling Fork,-90.83730316,32.9396019
04MT,small_airport,Pluhar Airport,2715,US,US-MT,Cohagen,-106.488095,47.13749778
04NC,heliport,Western Wake Medical Center Heliport,445,US,US-NC,Cary,-78.78220367,35.73920059
04NE,small_airport,Mc Connell Field Airport,3035,US,US-NE,Sarben,-101.2990036,41.15999985
04NJ,small_airport,Emmanuel Airport,155,US,US-NJ,Elmer,-75.23349762,39.59680176
04NV,small_airport,Kingston Ranch Airport,2620,US,US-NV,Sandy Valley,-115.6650009,35.75550079
04NY,small_airport,Klaverack Airport,250,US,US-NY,Hudson,-73.69619751,42.26229858
04OG,heliport,Teufel Heliport,185,US,US-OR,Forest Grove,-123.085556,45.530833
04OH,closed,Bossow Airport,1080,US,US-OH,Garrettsville,-81.100701,41.2477
04OK,heliport,Stillwater Medical Center Heliport,984,US,US-OK,Stillwater,-97.07949829,36.11529922
04OR,small_airport,Collins Landing Strip,1500,US,US-OR,Mitchell,-120.2009964,44.74990082
04PA,heliport,S & C Distribution Center Heliport,50,US,US-PA,Philadelphia,-75.22879791,39.87929916
04PN,heliport,Strawbridge & Clothier Exton Heliport,320,US,US-PA,Exton,-75.63021,40.0306619
04SC,heliport,Emergency Helipad,994,US,US-SC,Easley,-82.60690308,34.84059906
